Job title,Company name,Location,Skills
UI/UX Designer,Togglecorp,"Manbhawan, Lalitpur","Communication,Time Management"
QA Engineer,Togglecorp,"Manbhawan, Lalitpur","Communication,Time Management"
Jr. ML Engineer,Togglecorp,"Manbhawan, Lalitpur","Communication,Time Management"
Training Officer,Cedar Gate Services,"Kathmandu, Nepal","Interpersonal,Communication,Time Management,Organizational"
Training Manager,Cedar Gate Services,"Kathmandu, Nepal","Interpersonal,Communication,Time Management,Organizational"
Delivery Rider Supervisor,Foodmandu,"Bhatbhateni, Naxal","Interpersonal,Communication,Problem Solving,Time Management"
Executive Secretary,International Manpower Recruitment,"Gwarko, Lalitpur, Nepal","Interpersonal,Management,Communication,Problem Solving,Time Management,Microsoft Office Suite"
Marketing Manager,Reizvoll Cosmetics,"Subidhanagar, Tinkune, Kathmandu","Interpersonal,Marketing,Management,Communication,Organizational"
C# Developer,Infocom Solutions,Kathmandu,"Interpersonal,Communication,Problem Solving,Programming"
Operations Manager,Sulav Pay,Kathmandu,"Marketing,Management,Administration,Public Relations"
Senior Accountant / Finance Man…,Arsia Group Of Companies,Kathmandu,"Interpersonal,Management,Organizational,Financial Forecasting"
Mobile QA Automation Engineer,Deerhold Nepal,Kathmandu,"Interpersonal,Communication,Programming,Javascript,Automation"
Communications Officer,World Vision International Nepal,"Lalitpur, National Office","Communication,Multitasking,Time Management"
Full Stack Javascript Developer,UBA Solutions,"Imadole, Lalitpur, Nepal","Css,React,Api,Node.Js"
Office Secretary/ Jr Accountant,Future Employment Service,"Lazimpat,Gairidhara","Interpersonal,Management,Communication,Analytical,Public Relations,Decision Making"
Strategic Business & Financial …,Real Solutions,"Shantinagar, Kathmandu","Interpersonal,Communication,Teamwork,Problem Solving,Leadership,Time Management,Microsoft Office Suite,Organizational"
Secondary Science Teacher,Paragon Public School,"Tilganga, Kathmandu","Interpersonal,Marketing,Management,Communication,Problem Solving,Administration,Organizational"
Marketing Manager,Sonam Gear,"Budhanilkantha, Narayanthan",
Software Developer,SK Technology,Work From Home,"Html,Css,Javascript,Mysql,Any Programming Language"
Counselor (USA/ Canada),NIEC,"Putalisadak,","Interpersonal,Management,Customer Service,Organizational"
Receptionist/ Front Desk Officer,NIEC,Chitwan,"Interpersonal,Management,Communication,Organizational"
Consultant - Team Lead for Revi…,USAID’s Strengthening Systems for Better Health (SSBH) Activity,Maharajgunj,"Interpersonal,Management,Communication,Organizational"
Consultant - Associate for Revi…,USAID’s Strengthening Systems for Better Health (SSBH) Activity,Putalisadak,
Program Manager,Ace,Chitwan,
Assistant Program Coordinator,KFA,"Mid Baneshwor , Kathmandu","Interpersonal,Communication,Teamwork,Organizational"
Talent Acquisition Specialist,Daraz,Kathmandu,"Interpersonal,Management,Communication,Patience"
Software Developer,WorldLink Communications,"Jawalakhel, Lalitpur","Javascript,Android,Html5/Css,Laravel Framework"
Accountant,EuroKids International,"Samakhusi , Kathmandu","Interpersonal,Management,Communication,Problem Solving"
Receptionist,EuroKids International,"Samakhusi , Kathmandu","Interpersonal,Management,Communication,Problem Solving"
School Head,Euro School,"Hatigauda, Kathmandu","Interpersonal,Management,Communication,Presentation,Time Management"
Communications and Media Specia…,UNFPA Nepal,"Kathmandu, Nepal","Communication,Problem Solving,Planning,Organizational"
Admin Assistant,Vaishno Medisales,Kathmandu,"Interpersonal,Marketing,Management,Communication,Accounting,Microsoft Office Suite"
Team Leader - B2C Business,TIMES BUSINESS,"Kathmandu-14, Balkhu","Interpersonal,Management,Sales,Customer Service,Microsoft Office Suite"
Officer- Inbound Tour,Raintree Tours and Travel Pvt. Ltd,"Jyatha Marg , Kantipath Kathmandu","Interpersonal,Management,Communication,Problem Solving,Multitasking,Microsoft Office Suite,Organizational"
VISA Officer,Raintree Tours and Travel Pvt. Ltd,"Jyatha Marg , Kantipath Kathmandu","Interpersonal,Communication,Negotiation,Problem Solving,Microsoft Office Suite"
Product Development Officer,Raintree Tours and Travel Pvt. Ltd,"Jyatha Marg , Kantipath Kathmandu",
Officer- Outbound Tour,Raintree Tours and Travel Pvt. Ltd,"Jyatha Marg , Kantipath Kathmandu","Interpersonal,Management,Sales,Customer Service,Microsoft Office Suite"
Ticketing Officer,Raintree Tours and Travel Pvt. Ltd,"Jyatha Marg , Kantipath Kathmandu","Interpersonal,Management,Communication,Problem Solving,Microsoft Office Suite,Organizational"
Ticketing Officer,Trans Holidays Travel and Tours,"Uttardhoka, Lazimpat, Kathmandu","Digital Marketing,Travel Consultant,Operating Tour"
Operations Executive,DHM International,"Kathmandu, Nepal","Interpersonal,Management,Communication,Organizational"
Deputy Chief Executive Officer,Euro School,Tripureshowr,"Leadership,Risk Management,Analytical Skills,Decision Making,Financial Analysis"
Nepali Language Teacher ( Prima…, ,"Hatigauda, Kathmandu","Interpersonal,Management,Communication,Presentation,Digital Literacy"
